dropout,K,mean_u,sd_u,spearman_u_abs_proxy_judge_error,spearman_vs_original_u,kendall_tau_vs_original_u,top10_overlap_vs_original_u,mean_mc_reward
0.05,2,0.16796887437340047,0.13219328736181266,0.2005494505494505,0.06565934065934065,0.05952380952380952,0.2,-1.1636371861677617
0.05,4,0.207578114583157,0.12242408573550403,0.04592490842490842,0.21625457875457874,0.15476190476190477,0.3,-1.108520075911656
0.05,8,0.2119558899430558,0.09054616636723285,0.16007326007326006,0.15590659340659338,0.11011904761904762,0.3,-1.1037723003246356
0.05,16,0.23821202130056918,0.15685668972550024,0.24345238095238095,0.28287545787545787,0.20238095238095236,0.6,-1.0997649388737045
0.1,2,0.22440321665635565,0.16201851877949977,0.04377289377289377,0.03946886446886446,0.03869047619047619,0.3,-1.1644707794766873
0.1,4,0.2618423672975041,0.1377122552805039,0.21666666666666662,0.1927197802197802,0.12797619047619047,0.2,-1.1007000657264143
0.1,8,0.2753568459302187,0.1156306412912038,0.2963827838827839,0.07568681318681318,0.05257936507936508,0.4,-1.0911512008169666
0.1,16,0.29880261595826596,0.18156660778758607,0.21886446886446884,0.22019230769230766,0.1527777777777778,0.5,-1.0920784744084813
0.2,2,0.2753351003266289,0.21654286013119498,-0.021978021978021976,0.09418498168498168,0.0744047619047619,0.3,-1.2309001761022955
0.2,4,0.36650054523488507,0.22980520083584285,0.2389194139194139,0.2238553113553113,0.15079365079365079,0.2,-1.0853220131248236
0.2,8,0.35600062762387097,0.13717988276862153,0.349084249084249,0.2507783882783883,0.1716269841269841,0.5,-1.0946748468559235
0.2,16,0.3798262136988342,0.2028948970014825,0.2668040293040293,0.24949633699633697,0.17956349206349206,0.5,-1.0993761729914695
