i,delta_u,delta_R_phi,delta_judge_avg,ppo_u,up_u
38,-0.11691151316927732,-0.20245702980324753,1.0,0.20606597565325782,0.0891544624839805
22,-0.02500964957040483,-0.6658949979261078,1.0,0.16276997771638227,0.13776032814597744
55,0.20614371564515976,-0.6201103230901127,1.0,0.16515985924345494,0.3713035748886147
39,0.255397302712304,-0.969536245792969,1.0,0.07895335132905469,0.33435065404135866
1,-0.11795758971053082,-0.01840570053953372,1.0,0.2319673915244537,0.11400980181392288
59,0.0387979800309835,0.35369479555861727,1.0,0.08922132961564355,0.12801930964662706
35,-0.06666506329485289,-0.30416678862119373,1.0,0.21176797586343157,0.14510291256857868
57,-0.009845844761247724,-0.1825201544059476,0.5,0.13578677936783978,0.12594093460659206
25,0.046365553079629966,-0.8586998809597706,0.5,0.04045699728909815,0.08682255036872812
60,-0.24912309186489404,-0.249861223883465,0.0,0.2921632276219597,0.043040135757065646
61,0.16575393545192102,-0.5912214977817147,0.0,0.08147530838504315,0.24722924383696418
58,-0.13346749472783836,-0.3882825624859928,0.0,0.2268676173738951,0.09340012264605674
56,0.4463658373149085,-0.6040649728523113,-0.5,0.057346432404438305,0.5037122697193468
13,-0.10906541176656638,0.22356871103771564,-0.5,0.17313894704079832,0.06407353527423194
49,-0.07247908081205555,-0.09940969823859627,-1.0,0.12979806739424185,0.0573189865821863
6,0.12580641412233157,-0.40652776848625116,-1.0,0.2811566522958814,0.40696306641821295
